Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-AtApsExampleObservationPregnancyOutcome01.json	1052	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-AtApsExampleObservationPregnancyStatus01.json	1077	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/Observation-AtApsExampleObservationResultsLaboratoryPathology01.json	2708	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Observation-AtApsExampleObservationResultsRadiology01.json	2218	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/Observation-AtApsExampleObservationVitalSigns01.json	1032	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Observation-at-aps-example-observation-01-exercise.json	780	4	0	0	1	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/Observation-at-aps-example-observationalcoholuse-01.json	817	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Observation-at-aps-example-observationtobaccouse-01.json	852	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/Organization-AtApsExampleOrganization01.json	2352	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/Parameters-AtApsExpansionParametersSCT.json	242	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Patient-at-aps-example-patient-01.json	1333	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Practitioner-at-aps-example-practitioner-01.json	545	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-AtApsExamplePractitionerRole01.json	865	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/Procedure-at-aps-example-procedure-01.json	1139	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Specimen-AtApsExampleSpecimen01.json	1716	4	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-aps-allergyintolerance.json	3299	5	0	60	1	0	0	0	1	910	0	0	0	0	0	0	0	1	0	0	77	638	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-aps-bundle.json	13158	6	0	1334	0	0	0	0	0	97	0	0	1	0	0	0	0	4	0	0	734	3076	0	0	0	49	1	6
fsh-generated/resources/StructureDefinition-at-aps-careplan.json	6795	4	0	35	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	103	343	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-at-aps-clinicalimpression.json	3678	5	0	33	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	60	279	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-aps-composition.json	48566	9	0	118	0	0	0	0	1	111	0	0	1	0	0	0	0	3	0	0	522	1405	0	1	0	34	0	3
fsh-generated/resources/StructureDefinition-at-aps-condition.json	4927	4	0	40	0	0	0	0	0	975	0	0	0	0	0	0	0	0	0	0	66	9172	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-at-aps-consent.json	3842	4	0	36	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	77	300	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-aps-device.json	2469	5	0	58	0	0	0	0	1	419	0	0	0	0	0	0	0	0	0	0	71	303	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-aps-deviceusestatement.json	3895	5	0	28	1	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	40	195	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-aps-diagnosticreport.json	5184	6	0	38	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	56	253	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-at-aps-documentreference.json	3633	4	0	34	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	69	266	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-aps-flagalert.json	2652	5	0	26	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	34	177	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-aps-imagingstudy.json	5088	4	0	35	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	75	288	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-aps-immunization.json	6684	5	0	58	0	0	0	0	0	21297	0	0	0	0	0	0	0	0	0	0	89	321	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-at-aps-immunizationrecommendation.json	2372	4	0	43	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	51	222	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-aps-medication.json	2101	4	1	29	0	0	0	0	1	13	0	0	0	0	0	0	0	1	0	0	47	199	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-at-aps-medicationadministration.json	3926	4	0	34	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	62	254	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-aps-medicationdispense.json	3839	6	0	49	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	65	262	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-aps-medicationrequest.json	6334	4	0	18	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	86	305	0	1	0	6	0	0
fsh-generated/resources/StructureDefinition-at-aps-medicationstatement.json	4414	5	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	50	215	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-aps-observation.json	5315	4	0	13	0	0	0	0	0	17	0	0	1	0	0	0	0	1	0	0	95	313	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-at-aps-observationalcoholuse.json	1598	4	0	14	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	68	293	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-aps-observationpregnancyedd.json	1649	4	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	69	312	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-aps-observationpregnancyoutcome.json	1635	4	0	14	0	0	0	0	0	47	0	0	0	0	0	0	0	1	0	0	68	300	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-aps-observationpregnancystatus.json	2703	5	0	17	1	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	74	304	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-at-aps-observationresultslaboratorypathology.json	8733	5	0	23	0	0	0	0	0	21944	0	0	0	0	0	0	0	1	0	0	98	35071	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-aps-observationresultsradiology.json	2274	4	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	82	294	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-aps-observationtobaccouse.json	2351	4	0	15	0	0	0	0	0	469	0	0	0	0	0	0	0	1	0	0	73	308	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-at-aps-observationvitalsigns.json	2748	5	0	23	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	87	359	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-aps-organization.json	3653	4	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	105	385	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-at-aps-patient.json	5399	5	0	46	0	0	0	0	0	39	0	0	0	0	0	0	0	2	0	0	242	1265	0	0	0	19	0	3
fsh-generated/resources/StructureDefinition-at-aps-practitioner.json	3438	4	0	17	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	99	383	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-at-aps-practitionerrole.json	1931	4	0	59	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	63	211	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-aps-procedure.json	7586	5	0	13	1	0	0	0	0	16	0	0	1	0	0	0	0	1	0	0	78	288	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-at-aps-specimen.json	4508	4	0	16	0	0	0	0	0	1033	0	0	0	0	0	0	0	0	0	0	70	293	0	0	0	5	0	1
/fsh-generated/includes/menu.xml	3023	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	6575	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/use_case_overview.md	4141	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/contributors.md	2239	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/download.md	1023	-	-	-	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/design_choices.md	5599	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/use_case_2.md	1072	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/publication_info.md	2516	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/dependencies.md	286	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/challenges.md	2037	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2272	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/copyright.md	2095	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/imprint.md	1603	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/use_case_1.md	1316	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-at-aps-patient-intro.xml	620	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
/input/pagecontent/scope_and_content.md	8005	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/background.md	11002	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/contest.png	148403	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/hl7atlogo.png	17067	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/logo.jpg	104747	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/APS_Sections.drawio.png	119658	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/austrian-ips-context.drawio.png	809544	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/imposeProfile.png	88639	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	43261	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
